season,team1,team2,date,match_number,venue,city,toss_winner,toss_decision,player_of_match,umpire1,umpire2,reserve_umpire,match_referee,winner,winner_runs,winner_wickets
2023,Mumbai Indians,Gujarat Giants,2023/03/04,1,Dr DY Patil Sports Academy,Navi Mumbai,Gujarat Giants,field,H Kaur,N Pandit,VG Rathi,Ranjeev Sharma,GS Lakshmi,Mumbai Indians,143.0,
2023,Gujarat Giants,UP Warriorz,2023/03/05,3,Dr DY Patil Sports Academy,Navi Mumbai,Gujarat Giants,bat,GM Harris,Gayathri Venugopal,Sanjay Kumar Singh,N Pandit,AV Narvekar,UP Warriorz,,3.0
2023,Delhi Capitals,Royal Challengers Bangalore,2023/03/05,2,Brabourne Stadium,Mumbai,Royal Challengers Bangalore,field,TG Norris,Chirra Ravikanthreddy,N Janani,Saurabh Dhote,RB Kalita,Delhi Capitals,60.0,
2023,Royal Challengers Bangalore,Mumbai Indians,2023/03/06,4,Brabourne Stadium,Mumbai,Royal Challengers Bangalore,bat,HK Matthews,PG Pathak,Ranjeev Sharma,Sanjay Kumar Singh,VR Nagre,Mumbai Indians,,9.0
2023,Delhi Capitals,UP Warriorz,2023/03/07,5,Dr DY Patil Sports Academy,Navi Mumbai,UP Warriorz,field,JL Jonassen,Chirra Ravikanthreddy,VG Rathi,M Kuppuraj,RB Kalita,Delhi Capitals,42.0,
2023,Gujarat Giants,Royal Challengers Bangalore,2023/03/08,6,Brabourne Stadium,Mumbai,Gujarat Giants,bat,SIR Dunkley,Ranjeev Sharma,Sanjay Kumar Singh,Gayathri Venugopal,GS Lakshmi,Gujarat Giants,11.0,
2023,Delhi Capitals,Mumbai Indians,2023/03/09,7,Dr DY Patil Sports Academy,Navi Mumbai,Delhi Capitals,bat,S Ishaque,M Kuppuraj,VG Rathi,Chirra Ravikanthreddy,VR Nagre,Mumbai Indians,,8.0
2023,Royal Challengers Bangalore,UP Warriorz,2023/03/10,8,Brabourne Stadium,Mumbai,Royal Challengers Bangalore,bat,AJ Healy,N Janani,Saurabh Dhote,N Pandit,AV Narvekar,UP Warriorz,,10.0
2023,Gujarat Giants,Delhi Capitals,2023/03/11,9,Dr DY Patil Sports Academy,Navi Mumbai,Gujarat Giants,bat,M Kapp,Gayathri Venugopal,Sanjay Kumar Singh,M Kuppuraj,GS Lakshmi,Delhi Capitals,,10.0
2023,UP Warriorz,Mumbai Indians,2023/03/12,10,Brabourne Stadium,Mumbai,UP Warriorz,bat,H Kaur,N Janani,PG Pathak,Ranjeev Sharma,RB Kalita,Mumbai Indians,,8.0
2023,Royal Challengers Bangalore,Delhi Capitals,2023/03/13,11,Dr DY Patil Sports Academy,Navi Mumbai,Delhi Capitals,field,JL Jonassen,N Pandit,Saurabh Dhote,Sanjay Kumar Singh,AV Narvekar,Delhi Capitals,,6.0
2023,Mumbai Indians,Gujarat Giants,2023/03/14,12,Brabourne Stadium,Mumbai,Gujarat Giants,field,H Kaur,Chirra Ravikanthreddy,Gayathri Venugopal,VG Rathi,VR Nagre,Mumbai Indians,55.0,
